1;285874986;0
1;0;4265327
1;0;4249121
1;0;4594560
1;0;4461830
1;0;3825638
1;0;4540498
1;0;3937231
1;0;3638978
1;0;4544852
1;0;3436194
1;0;4402283
1;0;4460831
1;0;4118871
1;0;3448418
1;0;4170339
1;0;3795461
1;0;3485987
1;0;4639913
1;0;3578775
1;0;4301107
1;0;4207055
1;0;3785270
2;250783979;0
2;0;3158987
2;0;3758569
2;0;3184596
2;0;3636584
2;0;4391649
2;0;4007044
2;0;3641813
2;0;4359269
2;0;3386266
2;0;3355377
2;0;4541939
2;0;3370526
2;0;4259845
2;0;3380683
3;252342841;0
3;0;4562249
3;0;3541940
3;0;4145484
3;0;4492499
3;0;3995548
3;0;3996266
3;0;3837482
3;0;4645105
3;0;3210095
3;0;3382431
3;0;3386719
3;0;4201473
3;0;3675468
3;0;3385109
3;0;3710391
3;0;3723905
3;0;3450698
3;0;3675879
3;0;3544420
4;237194245;0
4;0;3176346
4;0;4124291
4;0;4313320
4;0;4473906
4;0;4287893
4;0;4230472
4;0;4633631
4;0;3511515
4;0;4381656
4;0;4091209
4;0;3769899
4;0;4136620
4;0;3514700
4;0;4166677
4;0;3275935
4;0;3522745
4;0;3299071
4;0;3490044
4;0;3895043
5;211252052;0
5;0;4595126
5;0;3724535
5;0;4332613
5;0;3676384
5;0;3852439
5;0;4455652
5;0;3572241
5;0;4000612
5;0;4475432
5;0;3996102
5;0;4036349
5;0;4542436
5;0;3852942
5;0;3246720
5;0;3168799
5;0;4128112
5;0;3246448
5;0;4582503
5;0;4219556
5;0;3532768
5;0;3388413
5;0;3729738
6;241913870;0
6;0;4547314
6;0;3659854
6;0;3685938
6;0;4314382
6;0;3665253
6;0;4120512
6;0;4335741
6;0;3398446
6;0;4530429
6;0;3759404
6;0;3673530
6;0;3481022
6;0;3470027
6;0;3638995
6;0;4642585
6;0;4482599
6;0;3247017
6;0;4170635
7;210915734;0
7;0;3947630
7;0;4190278
7;0;3590869
7;0;3809552
7;0;3456187
7;0;4224216
